img,output,flag,username,timestamp
/Users/akshatjain/Downloads/Skin_disease_ML/flagged/img/a313d09ebe1fb4f3166757b8d545a3fdcc596982/tmpihzliagi.jpg,"Prediction: acne
Confidence: 93.34%",,,2026-05-14 09:43:59.505893
,,,,2026-05-14 10:28:35.748129
